Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,video,question1,A.1,B.1,C.1,ANSWER1,ANSWER2,question2,A.2,B.2,C.2,D.2,E.2,question3,A.3,B.3,C.3,D.3,E.3,ANSWER3,ANSWER
1,1.60E+12,29/10/2020 14:58,1.60E+12,0,29/10/2020 14:58,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x754,,Triangle task,14,Meta-first,Spreadsheet1,,,BEGIN TASK,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.60E+12,29/10/2020 14:59,1.60E+12,0,29/10/2020 14:59,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x754,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,script,force_advance,,,,,0,1,0,,,,,,Intro,,,,,,,,,,,,,,,,,,,,,
3,1.60E+12,29/10/2020 14:59,1.60E+12,0,29/10/2020 15:00,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,1,1,2,Screen 1,button,response_button_text,,,Let's go!,1,0,1,0,,,,,,Intro,,,,,,,,,,,,,,,,,,,,,
4,1.60E+12,29/10/2020 15:00,1.60E+12,0,29/10/2020 15:00,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,1,Screen 5,Zone1,timelimit_screen,,,,,0,1,0,,,1,,,Trial session,,,,,,,,,,,,,,,,,,,,,
5,1.60E+12,29/10/2020 15:00,1.60E+12,0,29/10/2020 15:00,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,2,Screen 7,buttonA,response_button_text,,,A. No interaction,1,0,1,0,,,,,,Trial session,,,,,,,,,,,,,,,,,,,,,
6,1.60E+12,29/10/2020 15:00,1.60E+12,0,29/10/2020 15:00,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,3,Screen 8,advancementZone,continue_button,,,,,0,1,0,,,,,,Trial session,,,,,,,,,,,,,,,,,,,,,
7,1.60E+12,29/10/2020 15:01,1.60E+12,0,29/10/2020 15:01,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,4,Screen 9,Zone1,timelimit_screen,,,,,0,1,0,,,1,,,Trial session,,,,,,,,,,,,,,,,,,,,,
8,1.60E+12,29/10/2020 15:01,1.60E+12,0,29/10/2020 15:01,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,5,Screen 11,buttonC,response_button_text,,,C. Mental interaction,1,1,0,0,,,,,,Trial session,,,,,,,,,,,,,,,,,,,,,
9,1.60E+12,29/10/2020 15:01,1.60E+12,0,29/10/2020 15:01,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,6,Screen 12,advancementZone,continue_button,,,,,0,1,0,,,,,,Trial session,,,,,,,,,,,,,,,,,,,,,
10,1.60E+12,29/10/2020 15:02,1.60E+12,0,29/10/2020 15:02,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,7,Screen 2,Zone1,timelimit_screen,,,,,0,1,0,,,1,,,Trial session,,,,,,,,,,,,,,,,,,,,,
11,1.60E+12,29/10/2020 15:02,1.60E+12,0,29/10/2020 15:02,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,8,Screen 1,buttonC,response_button_text,,,C. Mental interaction,1,1,0,0,,,,,,Trial session,,,,,,,,,,,,,,,,,,,,,
12,1.60E+12,29/10/2020 15:02,1.60E+12,0,29/10/2020 15:02,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,9,Screen 3,advancementZone,continue_button,,,,,0,1,0,,,,,,Trial session,,,,,,,,,,,,,,,,,,,,,
13,1.60E+12,29/10/2020 15:03,1.60E+12,0,29/10/2020 15:03,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,5,1,1,Screen 13,Zone7,timelimit_screen,,,,,0,1,0,,,1,1,1,TOM session,TOM_SEDUCING.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,C. Mental interaction,Cunning,## How do you think the **Little Triangle** feels at the end of the animation?,Lost,Cunning,Scared,Composed,No feelings,## How do you think the **Big Triangle** feels at the end of the animation?,Excited ,Eager,No feelings,Cheerful,Foolish,Foolish,
14,1.60E+12,29/10/2020 15:03,1.60E+12,0,29/10/2020 15:03,12022,41,task-h14t,,7509111,BLIND,2195932,,complete,mnxixm,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x864,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,5,1,2,Screen 2,buttonC,response_button_text,,,C. Mental interaction,1,1,0,0,,,,1,1,TOM session,TOM_SEDUCING.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,C. Mental interaction,Cunning,## How do you think the **Little Triangle** feels at the end of the animation?,Lost,Cunning,Scared,Composed,No feelings,## How do you think the **Big Triangle** feels at the end of the animation?,Excited ,Eager,No feelings,Cheerful,Foolish,Foolish,
